Source,Predicate,Target
http://example.org/fraud#User_U029,http://example.org/fraud#phone,196-940-3040
http://example.org/fraud#Account_A015,http://example.org/fraud#balance,1782.97
http://example.org/fraud#Account_A025,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Account
http://example.org/fraud#User_U073,http://example.org/fraud#name,Kathy Macdonald
http://example.org/fraud#Transaction_T099,http://example.org/fraud#transactionType,Credit
http://example.org/fraud#User_U098,http://example.org/fraud#phone,(118)304-5640x425
http://example.org/fraud#Transaction_T068,http://example.org/fraud#timestamp,2025-01-21 16:17:54
http://example.org/fraud#User_U026,http://example.org/fraud#dateJoined,2025-01-10T00:00:00
http://example.org/fraud#Device_D096,http://example.org/fraud#deviceOS,iOS
http://example.org/fraud#Device_D064,http://example.org/fraud#lastUsedTimestamp,2025-01-26 10:06:25
http://example.org/fraud#Transaction_T069,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A006
http://example.org/fraud#Transaction_T013,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#User_U056,http://example.org/fraud#name,Thomas Carr
http://example.org/fraud#Account_A018,http://example.org/fraud#accountStatus,Active
http://example.org/fraud#Device_D060,http://example.org/fraud#geolocation,"-84.3222, -142.3951"
http://example.org/fraud#Device_D074,http://example.org/fraud#deviceType,Smartphone
http://example.org/fraud#User_U045,http://example.org/fraud#dateJoined,2025-01-22T00:00:00
http://example.org/fraud#Device_D095,http://example.org/fraud#geolocation,"27.1742, -93.2572"
http://example.org/fraud#Device_D095,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Device
http://example.org/fraud#Transaction_T020,http://example.org/fraud#location,Brianside
http://example.org/fraud#User_U036,http://example.org/fraud#phone,469.057.5875x197
http://example.org/fraud#Transaction_T061,http://example.org/fraud#timestamp,2025-02-02 09:55:11
http://example.org/fraud#Account_A014,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U014
http://example.org/fraud#User_U030,http://example.org/fraud#name,Deborah Novak
http://example.org/fraud#Transaction_T065,http://example.org/fraud#timestamp,2025-01-11 09:27:23
http://example.org/fraud#Device_D007,http://example.org/fraud#deviceType,Tablet
http://example.org/fraud#User_U038,http://example.org/fraud#phone,+1-314-381-5357x42464
http://example.org/fraud#User_U040,http://example.org/fraud#dateJoined,2025-01-07T00:00:00
http://example.org/fraud#User_U089,http://example.org/fraud#name,Robin Mueller
http://example.org/fraud#User_U049,http://example.org/fraud#name,Amanda Davis
http://example.org/fraud#Device_D079,http://example.org/fraud#deviceType,Smartphone
http://example.org/fraud#Account_A025,http://example.org/fraud#balance,9075.31
http://example.org/fraud#Account_A032,http://example.org/fraud#accountType,Checking
http://example.org/fraud#User_U075,http://example.org/fraud#ipAddress,10.142.29.98
http://example.org/fraud#Account_A049,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U049
http://example.org/fraud#Account_A009,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Account
http://example.org/fraud#Transaction_T061,http://example.org/fraud#amount,3341.89
http://example.org/fraud#Device_D088,http://example.org/fraud#deviceType,Laptop
http://example.org/fraud#Transaction_T019,http://example.org/fraud#transactionType,Credit
http://example.org/fraud#Device_D066,http://example.org/fraud#deviceOS,macOS
http://example.org/fraud#Device_D003,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Device
http://example.org/fraud#User_U070,http://example.org/fraud#address,"78684 Sally Bypass Apt. 540, Kevinside, NV 82617"
http://example.org/fraud#Account_A037,http://example.org/fraud#balance,3253.71
http://example.org/fraud#Account_A080,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U080
http://example.org/fraud#Account_A009,http://example.org/fraud#accountType,Checking
http://example.org/fraud#Device_D018,http://example.org/fraud#deviceOS,macOS
http://example.org/fraud#Transaction_T029,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#Account_A028,http://example.org/fraud#accountType,Checking
http://example.org/fraud#User_U092,http://example.org/fraud#name,Megan Steele
http://example.org/fraud#Device_D031,http://example.org/fraud#geolocation,"72.3263, 59.9351"
http://example.org/fraud#User_U014,http://example.org/fraud#dateJoined,2025-01-25T00:00:00
http://example.org/fraud#Transaction_T075,http://example.org/fraud#atMerchant,http://example.org/fraud#Merchant_M018
http://example.org/fraud#Transaction_T086,http://example.org/fraud#transactionType,Credit
http://example.org/fraud#Transaction_T028,http://example.org/fraud#atMerchant,http://example.org/fraud#Merchant_M012
http://example.org/fraud#Account_A065,http://example.org/fraud#accountStatus,Active
http://example.org/fraud#User_U002,http://example.org/fraud#ipAddress,172.21.134.178
http://example.org/fraud#Device_D019,http://example.org/fraud#deviceType,Smartphone
http://example.org/fraud#User_U076,http://example.org/fraud#phone,001-526-509-7576x13103
http://example.org/fraud#User_U057,http://example.org/fraud#email,benitezmonica@yahoo.com
http://example.org/fraud#Merchant_M012,http://example.org/fraud#category,Electronics
http://example.org/fraud#Transaction_T055,http://example.org/fraud#location,North Haleyport
http://example.org/fraud#User_U057,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#User
http://example.org/fraud#User_U046,http://example.org/fraud#name,Barbara Smith
http://example.org/fraud#Transaction_T099,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#User_U083,http://example.org/fraud#name,Karen Brown
http://example.org/fraud#Account_A095,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Account
http://example.org/fraud#Device_D080,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Device
http://example.org/fraud#Transaction_T099,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A022
http://example.org/fraud#Account_A085,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U085
http://example.org/fraud#User_U025,http://example.org/fraud#phone,001-208-225-8652
http://example.org/fraud#User_U063,http://example.org/fraud#dateJoined,2025-01-15T00:00:00
http://example.org/fraud#Account_A038,http://example.org/fraud#balance,3167.59
http://example.org/fraud#User_U061,http://example.org/fraud#name,Jeff Rodriguez
http://example.org/fraud#Device_D077,http://example.org/fraud#geolocation,"-61.4487, 8.7267"
http://example.org/fraud#Transaction_T012,http://example.org/fraud#timestamp,2025-01-24 13:31:29
http://example.org/fraud#User_U015,http://example.org/fraud#dateJoined,2025-01-26T00:00:00
http://example.org/fraud#Transaction_T088,http://example.org/fraud#amount,2507.8
http://example.org/fraud#Transaction_T047,http://example.org/fraud#amount,53.17
http://example.org/fraud#Device_D096,http://example.org/fraud#deviceType,Laptop
http://example.org/fraud#Transaction_T092,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A055
http://example.org/fraud#User_U051,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#User
http://example.org/fraud#User_U034,http://example.org/fraud#name,Sara Graham
http://example.org/fraud#Transaction_T094,http://example.org/fraud#amount,4127.94
http://example.org/fraud#Transaction_T006,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A040
http://example.org/fraud#Transaction_T048,http://example.org/fraud#location,West Joseph
http://example.org/fraud#Account_A060,http://example.org/fraud#accountType,Savings
http://example.org/fraud#User_U053,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#User
http://example.org/fraud#Account_A018,http://example.org/fraud#accountType,Checking
http://example.org/fraud#Device_D094,http://example.org/fraud#deviceType,Laptop
http://example.org/fraud#Transaction_T095,http://example.org/fraud#timestamp,2025-01-25 05:24:24
http://example.org/fraud#Device_D087,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Device
http://example.org/fraud#User_U032,http://example.org/fraud#name,Leslie Garcia
http://example.org/fraud#Transaction_T026,http://example.org/fraud#location,Andersonside
http://example.org/fraud#User_U052,http://example.org/fraud#address,"899 Mosley Overpass Apt. 662, East Mindyville, IN 94995"
http://example.org/fraud#Account_A055,http://example.org/fraud#balance,8417.06
http://example.org/fraud#Device_D016,http://example.org/fraud#deviceOS,Windows
http://example.org/fraud#User_U004,http://example.org/fraud#name,Mark Blair
http://example.org/fraud#Account_A027,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U027
http://example.org/fraud#Device_D012,http://example.org/fraud#deviceOS,iOS
http://example.org/fraud#Account_A020,http://example.org/fraud#balance,6400.95
http://example.org/fraud#Device_D027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Device
http://example.org/fraud#User_U031,http://example.org/fraud#name,Renee Greene
http://example.org/fraud#Transaction_T043,http://example.org/fraud#timestamp,2025-01-11 05:09:23
http://example.org/fraud#Transaction_T062,http://example.org/fraud#amount,4222.33
http://example.org/fraud#User_U076,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#User
http://example.org/fraud#Account_A090,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Account
http://example.org/fraud#Device_D025,http://example.org/fraud#geolocation,"-20.5401, -44.435"
http://example.org/fraud#Transaction_T060,http://example.org/fraud#location,Port Frederickchester
http://example.org/fraud#Device_D044,http://example.org/fraud#deviceOS,iOS
http://example.org/fraud#Transaction_T074,http://example.org/fraud#transactionType,Credit
http://example.org/fraud#Device_D019,http://example.org/fraud#deviceOS,iOS
http://example.org/fraud#User_U055,http://example.org/fraud#address,"PSC 6276, Box 7885, APO AP 16967"
http://example.org/fraud#User_U044,http://example.org/fraud#address,"7812 Cynthia Rue, Clarkton, UT 08057"
http://example.org/fraud#Device_D022,http://example.org/fraud#lastUsedTimestamp,2025-01-30 22:08:14
http://example.org/fraud#Device_D060,http://example.org/fraud#deviceType,Tablet
http://example.org/fraud#Transaction_T086,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#Account_A082,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Account
http://example.org/fraud#Device_D057,http://example.org/fraud#geolocation,"-65.9353, 60.1065"
http://example.org/fraud#Transaction_T031,http://example.org/fraud#amount,3372.57
http://example.org/fraud#Device_D054,http://example.org/fraud#geolocation,"36.6777, 146.3585"
http://example.org/fraud#User_U051,http://example.org/fraud#phone,624.555.1317
http://example.org/fraud#Account_A086,http://example.org/fraud#accountStatus,Inactive
http://example.org/fraud#Device_D025,http://example.org/fraud#deviceOS,macOS
http://example.org/fraud#Device_D032,http://example.org/fraud#lastUsedTimestamp,2025-01-25 20:47:06
http://example.org/fraud#Transaction_T064,http://example.org/fraud#atMerchant,http://example.org/fraud#Merchant_M016
http://example.org/fraud#User_U057,http://example.org/fraud#phone,001-839-830-7107x56458
http://example.org/fraud#Transaction_T031,http://example.org/fraud#atMerchant,http://example.org/fraud#Merchant_M010
http://example.org/fraud#Transaction_T081,http://example.org/fraud#amount,4974.16
http://example.org/fraud#User_U086,http://example.org/fraud#phone,6195785289
http://example.org/fraud#User_U089,http://example.org/fraud#email,taylorvictoria@giles-bradford.info
http://example.org/fraud#User_U026,http://example.org/fraud#address,"5207 Walker Field, South Harold, IA 10097"
http://example.org/fraud#Transaction_T066,http://example.org/fraud#timestamp,2025-01-06 20:19:03
http://example.org/fraud#Device_D032,http://example.org/fraud#deviceOS,Windows
http://example.org/fraud#Device_D069,http://example.org/fraud#geolocation,"-76.0007, 53.3201"
http://example.org/fraud#Transaction_T044,http://example.org/fraud#amount,3048.32
http://example.org/fraud#Account_A097,http://example.org/fraud#balance,5326.38
http://example.org/fraud#User_U080,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#User
http://example.org/fraud#Device_D021,http://example.org/fraud#geolocation,"57.5073, -16.0828"
http://example.org/fraud#Account_A059,http://example.org/fraud#balance,454.71
http://example.org/fraud#User_U094,http://example.org/fraud#dateJoined,2025-01-06T00:00:00
http://example.org/fraud#User_U100,http://example.org/fraud#ipAddress,172.25.18.31
http://example.org/fraud#Transaction_T034,http://example.org/fraud#atMerchant,http://example.org/fraud#Merchant_M001
http://example.org/fraud#Account_A075,http://example.org/fraud#accountStatus,Inactive
http://example.org/fraud#Account_A034,http://example.org/fraud#accountType,Savings
http://example.org/fraud#Account_A062,http://example.org/fraud#accountType,Checking
http://example.org/fraud#Account_A070,http://example.org/fraud#accountStatus,Active
http://example.org/fraud#Device_D045,http://example.org/fraud#lastUsedTimestamp,2025-01-03 15:40:58
http://example.org/fraud#Transaction_T042,http://example.org/fraud#timestamp,2025-02-08 18:19:28
http://example.org/fraud#User_U019,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#User
http://example.org/fraud#Transaction_T037,http://example.org/fraud#amount,678.15
http://example.org/fraud#Transaction_T059,http://example.org/fraud#amount,4238.27
http://example.org/fraud#Account_A061,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U061
http://example.org/fraud#Account_A032,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Account
http://example.org/fraud#Transaction_T040,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A084
http://example.org/fraud#Device_D063,http://example.org/fraud#lastUsedTimestamp,2025-01-20 15:53:39
http://example.org/fraud#Device_D093,http://example.org/fraud#geolocation,"22.0555, 138.9158"
http://example.org/fraud#User_U030,http://example.org/fraud#phone,663.041.1096x54972
http://example.org/fraud#Transaction_T010,http://example.org/fraud#timestamp,2025-01-12 01:28:44
http://example.org/fraud#Device_D099,http://example.org/fraud#lastUsedTimestamp,2025-01-07 06:17:11
http://example.org/fraud#Transaction_T039,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A029
http://example.org/fraud#Device_D084,http://example.org/fraud#deviceOS,Windows
http://example.org/fraud#Account_A022,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Account
http://example.org/fraud#Account_A079,http://example.org/fraud#accountStatus,Inactive
http://example.org/fraud#Transaction_T041,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A083
http://example.org/fraud#Transaction_T074,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#User_U078,http://example.org/fraud#address,"398 Christine Park, East Wendyfurt, ND 92045"
http://example.org/fraud#Device_D060,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Device
http://example.org/fraud#User_U067,http://example.org/fraud#dateJoined,2025-02-07T00:00:00
http://example.org/fraud#Account_A001,http://example.org/fraud#balance,1134.11
http://example.org/fraud#Account_A076,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U076
http://example.org/fraud#Transaction_T072,http://example.org/fraud#timestamp,2025-01-03 17:21:33
http://example.org/fraud#Device_D033,http://example.org/fraud#deviceOS,Android
http://example.org/fraud#Transaction_T014,http://example.org/fraud#transactionType,Credit
http://example.org/fraud#Device_D079,http://example.org/fraud#lastUsedTimestamp,2025-01-26 22:42:12
http://example.org/fraud#User_U006,http://example.org/fraud#dateJoined,2025-01-31T00:00:00
http://example.org/fraud#Device_D100,http://example.org/fraud#geolocation,"-12.941, -0.7486"
http://example.org/fraud#Account_A013,http://example.org/fraud#accountType,Savings
http://example.org/fraud#Transaction_T016,http://example.org/fraud#location,Simmonsville
http://example.org/fraud#User_U049,http://example.org/fraud#phone,+1-059-482-0452x771
http://example.org/fraud#Transaction_T099,http://example.org/fraud#timestamp,2025-01-05 07:50:32
http://example.org/fraud#User_U069,http://example.org/fraud#phone,633.229.6549
http://example.org/fraud#Transaction_T008,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#Transaction_T083,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#Device_D078,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Device
http://example.org/fraud#User_U033,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#User
http://example.org/fraud#Device_D012,http://example.org/fraud#geolocation,"-38.2828, -60.5203"
http://example.org/fraud#Transaction_T001,http://example.org/fraud#amount,3130.92
http://example.org/fraud#Device_D036,http://example.org/fraud#lastUsedTimestamp,2025-01-07 02:02:31
http://example.org/fraud#Account_A001,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U001
http://example.org/fraud#Transaction_T045,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A075
http://example.org/fraud#User_U094,http://example.org/fraud#ipAddress,192.168.193.66
http://example.org/fraud#Account_A067,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U067
http://example.org/fraud#Transaction_T055,http://example.org/fraud#amount,1071.04
http://example.org/fraud#Transaction_T021,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#Device_D056,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Device
http://example.org/fraud#Transaction_T040,http://example.org/fraud#atMerchant,http://example.org/fraud#Merchant_M017
http://example.org/fraud#Transaction_T033,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A093
http://example.org/fraud#Account_A001,http://example.org/fraud#accountType,Savings
http://example.org/fraud#Account_A022,http://example.org/fraud#balance,3837.63
http://example.org/fraud#User_U059,http://example.org/fraud#phone,001-841-446-8791x2236
http://example.org/fraud#Transaction_T042,http://example.org/fraud#location,East Kristen
http://example.org/fraud#Device_D055,http://example.org/fraud#geolocation,"-40.3394, -116.9676"
http://example.org/fraud#Device_D027,http://example.org/fraud#lastUsedTimestamp,2025-01-18 19:16:04
http://example.org/fraud#User_U010,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#User
http://example.org/fraud#Device_D064,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Device
http://example.org/fraud#Device_D035,http://example.org/fraud#deviceOS,macOS
http://example.org/fraud#User_U056,http://example.org/fraud#address,"489 Patricia Via, Tinaside, CA 71465"
http://example.org/fraud#Transaction_T025,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#User_U014,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#User
http://example.org/fraud#Transaction_T059,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#User_U067,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#User
http://example.org/fraud#Transaction_T036,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A023
http://example.org/fraud#User_U004,http://example.org/fraud#ipAddress,172.20.24.6
http://example.org/fraud#User_U011,http://example.org/fraud#phone,(462)541-1331
http://example.org/fraud#Merchant_M014,http://example.org/fraud#category,Travel
http://example.org/fraud#User_U007,http://example.org/fraud#name,Tammy Smith
http://example.org/fraud#Transaction_T089,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A100
http://example.org/fraud#Transaction_T053,http://example.org/fraud#timestamp,2025-02-09 20:35:18
http://example.org/fraud#Device_D057,http://example.org/fraud#deviceOS,Android
http://example.org/fraud#Transaction_T081,http://example.org/fraud#atMerchant,http://example.org/fraud#Merchant_M009
http://example.org/fraud#Transaction_T043,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A014
http://example.org/fraud#Account_A024,http://example.org/fraud#balance,6298.7
http://example.org/fraud#User_U039,http://example.org/fraud#email,brownlori@banks-miles.info
http://example.org/fraud#User_U072,http://example.org/fraud#phone,+1-591-558-3179x469
http://example.org/fraud#Account_A010,http://example.org/fraud#balance,359.3
http://example.org/fraud#Account_A061,http://example.org/fraud#accountStatus,Active
http://example.org/fraud#Account_A008,http://example.org/fraud#balance,2924.63
http://example.org/fraud#Account_A086,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U086
http://example.org/fraud#Device_D077,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Device
http://example.org/fraud#Account_A004,http://example.org/fraud#balance,1860.87
http://example.org/fraud#Account_A084,http://example.org/fraud#balance,6566.84
http://example.org/fraud#Account_A022,http://example.org/fraud#accountType,Savings
http://example.org/fraud#Account_A020,http://example.org/fraud#accountType,Savings
http://example.org/fraud#Transaction_T058,http://example.org/fraud#amount,896.53
http://example.org/fraud#Merchant_M010,http://example.org/fraud#location,Port Melissamouth
http://example.org/fraud#Transaction_T014,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Transaction
http://example.org/fraud#Transaction_T076,http://example.org/fraud#amount,220.49
http://example.org/fraud#User_U020,http://example.org/fraud#dateJoined,2025-02-06T00:00:00
http://example.org/fraud#Transaction_T032,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A008
http://example.org/fraud#Transaction_T089,http://example.org/fraud#atMerchant,http://example.org/fraud#Merchant_M009
http://example.org/fraud#User_U045,http://example.org/fraud#address,"1226 Smith Road, Danielmouth, SD 05340"
http://example.org/fraud#User_U096,http://example.org/fraud#dateJoined,2025-01-22T00:00:00
http://example.org/fraud#Account_A058,http://example.org/fraud#accountType,Checking
http://example.org/fraud#Device_D055,http://example.org/fraud#deviceType,Smartphone
http://example.org/fraud#Account_A005,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U005
http://example.org/fraud#Account_A021,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Account
http://example.org/fraud#User_U008,http://example.org/fraud#address,"7601 Francis Ranch Apt. 896, Aaronport, WA 24974"
http://example.org/fraud#Device_D038,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Device
http://example.org/fraud#User_U053,http://example.org/fraud#address,"6963 Julie Terrace Apt. 881, New Benjamin, AK 89512"
http://example.org/fraud#User_U083,http://example.org/fraud#address,"0305 Stanley Springs, Port Steveberg, MS 52027"
http://example.org/fraud#User_U090,http://example.org/fraud#name,Ethan Jones
http://example.org/fraud#User_U031,http://example.org/fraud#dateJoined,2025-02-08T00:00:00
http://example.org/fraud#User_U021,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#User
http://example.org/fraud#Account_A012,http://example.org/fraud#balance,8181.63
http://example.org/fraud#Device_D056,http://example.org/fraud#deviceOS,iOS
http://example.org/fraud#User_U040,http://example.org/fraud#name,Monica Rogers
http://example.org/fraud#Device_D028,http://example.org/fraud#deviceOS,Windows
http://example.org/fraud#Transaction_T002,http://example.org/fraud#atMerchant,http://example.org/fraud#Merchant_M006
http://example.org/fraud#Device_D057,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#Device
http://example.org/fraud#Device_D083,http://example.org/fraud#lastUsedTimestamp,2025-02-08 20:19:28
http://example.org/fraud#User_U071,http://example.org/fraud#ipAddress,10.211.217.185
http://example.org/fraud#Device_D067,http://example.org/fraud#lastUsedTimestamp,2025-01-05 11:12:42
http://example.org/fraud#Transaction_T022,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A005
http://example.org/fraud#User_U023,http://example.org/fraud#dateJoined,2025-01-08T00:00:00
http://example.org/fraud#Transaction_T076,http://example.org/fraud#onAccount,http://example.org/fraud#Account_A094
http://example.org/fraud#User_U098,http://example.org/fraud#address,"64844 Brenda Station, Lake Shellyfurt, CO 85267"
http://example.org/fraud#User_U043,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/fraud#User
http://example.org/fraud#Account_A089,http://example.org/fraud#ownedBy,http://example.org/fraud#User_U089
